Count;IncentiveCondition;Age.Group;Gender;Age;Income;Wealth;DigitSymbol;GainOrientation;LossOrientation;MaintenanceOrientation;ch_G01;ch_G02;ch_G03;ch_G04;ch_G05;ch_G06;ch_G07;ch_G08;ch_G09;ch_G10;ch_G11;ch_G12;ch_G13;ch_G14;ch_G15;ch_G16;ch_G17;ch_G18;ch_G19;ch_G20;ch_G21;ch_G22;ch_G23;ch_G24;ch_G25;ch_G26;ch_L01;ch_L02;ch_L03;ch_L04;ch_L05;ch_L06;ch_L07;ch_L08;ch_L09;ch_L10;ch_L11;ch_L12;ch_L13;ch_L14;ch_L15;ch_L16;ch_L17;ch_L18;ch_L19;ch_L20;ch_L21;ch_L22;ch_L23;ch_L24;ch_L25;ch_L26;ch_M01;ch_M02;ch_M03;ch_M04;ch_M05;ch_M06;ch_M07;ch_M08;ch_M09;ch_M10;ch_M11;ch_M12;ch_M13;ch_M14;ch_M15;ch_M16;ch_M17;ch_M18;ch_M19;ch_M20;ch_M21;ch_M22;ch_M23;ch_M24;ch_M25;ch_M26;rt_G01;rt_G02;rt_G03;rt_G04;rt_G05;rt_G06;rt_G07;rt_G08;rt_G09;rt_G10;rt_G11;rt_G12;rt_G13;rt_G14;rt_G15;rt_G16;rt_G17;rt_G18;rt_G19;rt_G20;rt_G21;rt_G22;rt_G23;rt_G24;rt_G25;rt_G26;rt_L01;rt_L02;rt_L03;rt_L04;rt_L05;rt_L06;rt_L07;rt_L08;rt_L09;rt_L10;rt_L11;rt_L12;rt_L13;rt_L14;rt_L15;rt_L16;rt_L17;rt_L18;rt_L19;rt_L20;rt_L21;rt_L22;rt_L23;rt_L24;rt_L25;rt_L26;rt_M01;rt_M02;rt_M03;rt_M04;rt_M05;rt_M06;rt_M07;rt_M08;rt_M09;rt_M10;rt_M11;rt_M12;rt_M13;rt_M14;rt_M15;rt_M16;rt_M17;rt_M18;rt_M19;rt_M20;rt_M21;rt_M22;rt_M23;rt_M24;rt_M25;rt_M26;Emotion.Pre;Excitement.Pre;Emotion.Post;Excitement.Post;DQgain;DQloss;DQmixed;RKgain;RKloss;RKmixed;medianTimeGain;medianTimeLoss;medianTimeMixed;M.alpha;M.gamma_gain;M.gamma_loss;M.lambda;M.luce
88;PayOne;Older;female;70;I do not want to answer;I do not want to answer;17;4,5;8;8;B;B;B;B;B;B;B;A;A;A;A;B;B;A;A;A;A;A;B;A;B;A;A;B;B;B;A;A;A;B;B;B;A;A;A;B;B;A;B;A;B;B;B;A;B;A;A;B;B;B;B;B;B;A;A;B;A;B;A;A;A;A;A;B;B;A;A;A;A;B;A;A;B;A;A;B;B;A;4;2;6;14;3;7;7;8;7;10;13;17;7;3;18;14;15;29;19;7;11;18;10;8;10;12;3;3;3;3;3;6;6;4;4;2;5;13;2;3;3;3;7;2;4;4;7;2;2;4;3;2;3;7;6;3;3;3;5;7;2;2;2;3;5;3;7;3;6;2;5;4;4;4;3;3;6;10;9;1;9;2;,68;,64;,48;,56;,64;,48;10;3;3,5;,837749009670726;,719967378306521;,822508965144877;1,02313166414021;,0905403867686739
89;PayOne;Older;male;69;$20,001 - $40,000;$0 - $5,000;29;8;3,5;2,5;A;A;A;B;B;A;B;A;A;B;B;B;B;B;A;B;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;B;A;B;A;B;A;A;A;A;B;A;A;A;A;B;A;B;B;B;B;A;A;B;B;B;A;B;B;B;B;A;B;B;B;B;B;B;B;A;A;A;A;A;B;B;A;A;6;7;11;4;11;5;18;12;9;9;6;7;10;11;10;6;9;9;7;11;13;11;9;9;17;11;13;11;14;13;10;14;11;12;17;18;16;9;8;7;11;7;16;13;10;10;13;11;13;9;12;10;19;6;16;11;10;11;11;14;8;14;10;11;11;16;9;20;9;10;13;11;15;11;13;9;11;9;6;2;7;3;,72;,88;,76;,52;,56;,52;9;11,5;11;,837896669999937;,743457602963494;,825608569809209;1,18722163180164;,182973323568467
90;PayOne;Older;male;77;$60,001 - $100,000;More than $500'000;17;6,5;6;4;A;B;B;B;B;A;B;A;A;B;A;B;B;B;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;B;B;A;B;A;B;A;A;A;B;B;A;A;A;B;B;A;B;B;A;B;A;A;B;B;B;A;B;B;A;B;A;A;B;A;A;B;A;A;A;A;A;A;B;B;A;B;A;5;7;7;5;8;6;9;5;9;5;5;10;10;5;6;6;9;6;7;5;4;6;5;7;8;6;6;8;7;10;4;11;5;5;6;5;7;5;5;4;5;5;8;6;18;8;7;5;10;13;4;6;12;9;5;12;7;8;4;12;20;6;13;14;10;9;8;8;8;6;7;8;13;7;7;9;4;6;7;9;9;5;,84;,92;,8;,56;,44;,72;6;6;8;,838368173180676;,708784431425058;,826456034873476;,804646869602993;,264554406976763
91;PayAll;Older;male;69;$60,001 - $100,000;I do not want to answer;46;4;8;4,5;B;B;B;A;B;A;B;A;A;B;B;A;A;B;A;B;B;A;B;A;B;B;A;B;B;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;B;A;A;A;B;A;A;B;B;A;B;A;B;B;B;B;A;B;B;B;B;A;A;A;B;A;B;B;A;A;A;A;B;B;B;B;A;A;8;10;8;8;8;7;16;6;8;32;7;14;8;16;13;7;47;9;13;11;6;10;9;7;6;14;7;10;10;10;8;11;8;13;16;12;9;10;12;15;15;13;13;29;9;15;11;48;23;36;13;10;11;7;10;9;6;11;13;14;32;9;17;8;15;12;10;10;7;33;19;6;11;7;7;9;10;7;7;1;7;2;,6;,72;,88;,48;,32;,48;8,5;12;10;,926969591922917;,841971397943949;,942232145435341;1,2412629923418;,108142629861491
92;PayOne;Older;male;81;$40,001 - $60,000;$5,001 - $10,000;22;5,5;3;5,5;B;A;B;A;B;B;A;A;A;B;A;A;B;B;A;A;A;A;B;A;B;B;A;A;A;A;A;A;A;B;A;B;A;B;B;B;A;A;A;A;B;A;A;A;B;A;A;B;B;A;B;A;A;B;B;B;A;B;B;B;A;B;A;A;A;B;B;A;A;A;A;A;A;B;B;B;A;A;7;20;7;15;10;6;11;8;13;15;11;13;16;18;12;12;13;8;10;4;8;7;14;11;11;10;19;14;15;14;10;12;10;9;13;21;14;9;11;12;10;10;13;8;9;13;5;8;9;13;7;10;8;23;22;13;8;12;10;5;18;7;14;19;14;30;12;14;18;10;11;8;14;7;11;12;13;10;7;2;8;3;,8;,8;,84;,36;,4;,68;11;10,5;12;,838105878043224;,680129667348913;,826041130200479;,958807280551154;,242290650105841
93;PayOne;Younger;male;28;$40,001 - $60,000;$0 - $5,000;51;8;1;1;B;A;B;A;B;B;A;A;A;B;A;A;B;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;B;A;A;B;B;B;A;A;A;A;A;A;A;B;B;A;B;B;A;B;A;B;A;B;B;A;B;B;A;B;A;B;B;B;A;A;B;B;A;B;A;A;B;B;B;A;A;9;5;3;7;7;4;17;7;13;17;7;5;7;5;6;6;5;4;5;4;7;8;7;10;7;4;3;5;9;3;2;5;13;4;5;10;5;4;5;5;8;4;5;7;9;6;5;6;5;6;5;5;16;16;7;5;5;10;7;13;11;13;6;10;12;8;9;16;22;10;13;7;10;10;7;9;9;6;8;1;5;1;,88;,88;,64;,44;,48;,4;7;5;10;,836783151212166;,776907117513129;,837574763425896;1,1006194435158;,264846851484283
94;PayOne;Younger;female;27;$20,001 - $40,000;$0 - $5,000;56;7;3,5;4;B;B;B;A;B;B;A;A;A;B;A;A;B;B;A;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A;B;B;A;A;B;A;A;A;A;B;B;B;B;B;A;B;A;A;B;B;B;A;A;B;B;B;B;B;B;B;A;A;A;B;A;A;A;A;A;A;A;B;A;4;10;3;9;4;5;6;4;6;9;5;5;9;9;9;7;8;9;3;5;3;5;8;9;10;7;6;12;7;4;5;5;7;9;10;7;8;12;11;6;8;9;7;13;10;5;7;12;5;7;10;5;6;5;7;7;3;9;5;11;5;4;5;4;10;8;7;13;4;4;6;4;6;5;6;6;3;4;5;1;5;3;,76;,8;,6;,4;,48;,44;6,5;7;5,5;,835555591677613;,715177620205052;,837359747505365;1,08718589441537;,19749795793407
95;PayAll;Younger;male;29;More than $100,000;$100,001 - $250,000;54;8;7,5;7;A;A;B;A;B;B;B;A;A;B;A;A;A;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;B;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;B;B;A;B;A;B;A;B;A;A;B;A;B;B;A;A;A;B;A;B;A;B;A;B;A;A;B;B;B;A;A;20;14;5;11;7;4;10;10;5;9;8;8;10;9;9;9;7;7;7;8;5;9;8;5;9;5;8;16;17;11;10;10;17;8;14;8;5;11;7;7;9;11;7;12;5;14;9;11;13;6;5;10;16;11;8;8;8;10;9;13;8;8;7;8;7;6;8;9;7;8;7;10;13;6;12;6;12;10;6;3;5;5;,88;,96;,76;,36;,48;,44;8;10;8;,980431015216042;,757423487902253;,830784522481017;1,20571130573366;,161437370206159
96;PayAll;Younger;male;23;$0 - $20,000;$25,001 - $50,000;31;7,5;8;6;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B;A;A;A;A;A;A;A;A;A;A;B;A;A;A;B;B;B;A;B;A;B;B;B;A;B;A;B;B;A;B;A;B;B;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;B;B;A;A;1;1;1;2;2;2;2;2;2;1;1;1;2;3;2;1;2;1;2;1;2;2;1;3;1;2;2;6;1;1;2;2;1;1;16;3;1;1;2;1;2;2;2;2;1;2;2;2;1;2;2;1;1;1;3;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;2;4;1;1;1;2;1;2;7;5;7;6;,48;,44;,52;,36;,68;,44;2;2;2;,438606495183814;,666839647264944;,804735334502669;,9996798300332;,121547764443683
97;PayOne;Older;male;78;$40,001 - $60,000;$100,001 - $250,000;21;6,5;6;5,5;A;A;B;A;B;A;A;A;A;B;B;A;A;B;B;A;A;A;B;A;B;B;A;A;A;A;A;B;A;A;A;A;A;A;B;B;B;A;A;B;B;A;A;A;B;A;A;A;B;A;B;A;B;B;B;B;A;B;A;B;B;A;B;A;B;A;B;B;B;B;B;A;B;A;A;A;B;A;14;18;17;12;12;16;11;8;9;19;10;13;18;14;20;14;19;16;15;9;9;6;18;16;25;15;24;19;21;12;11;22;15;26;18;15;12;18;10;24;14;19;15;16;13;13;33;4;21;14;12;17;16;11;14;13;11;29;21;10;22;15;15;15;16;19;18;13;11;17;13;8;16;9;16;18;19;10;8;2;6;2;,76;,6;,52;,32;,2;,36;14,5;15,5;15;,83764041948237;,68662010612089;,823951540096785;1,42087905905781;,106471537037128
98;PayOne;Older;female;67;More than $100,000;More than $500'000;24;8;1;5;B;B;B;B;B;B;B;A;A;B;A;A;A;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A;A;B;B;A;B;A;B;A;A;A;B;B;B;A;B;B;A;A;B;A;A;A;A;B;A;A;A;A;A;B;B;B;B;A;A;6;11;11;17;5;13;10;4;9;5;4;5;5;12;10;10;5;7;8;5;7;9;16;16;8;8;5;5;7;6;10;7;6;8;8;5;9;7;6;10;4;18;14;12;20;10;24;16;14;10;14;9;25;24;3;11;6;5;13;11;8;9;12;6;5;12;8;6;5;12;11;8;11;4;8;5;7;14;7;5;7;5;,88;,64;,8;,52;,56;,64;8;9;8;,838202157287802;,741413347884168;,823849006202;,943876034487958;,250552114800046
99;PayAll;Older;female;65;$0 - $20,000;$0 - $5,000;28;7,5;5,5;4,5;B;B;B;A;B;B;A;A;A;B;A;A;B;B;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;B;B;B;A;A;A;B;A;A;A;B;A;B;A;B;B;A;B;A;A;B;B;B;A;B;B;A;B;B;A;A;B;A;A;B;A;A;B;A;A;A;A;B;B;A;9;8;9;10;9;6;7;9;8;11;9;8;15;11;18;10;10;7;6;6;9;5;10;10;8;7;11;9;16;11;17;13;12;15;14;8;11;8;34;11;11;11;19;20;12;10;7;13;10;10;17;9;20;23;13;7;10;13;15;18;13;13;10;44;14;12;25;20;14;13;10;14;8;10;9;14;8;13;6;4;7;6;,8;,8;,68;,44;,4;,52;9;11;13;,919405579081557;,789528914691785;,942545338544913;1,04523781912491;,155344421916213
100;PayOne;Older;male;69;$0 - $20,000;$0 - $5,000;30;7;6;4,5;A;B;B;A;B;B;A;A;A;B;A;A;A;A;B;A;A;A;B;A;B;B;A;B;A;A;A;A;A;A;B;A;A;A;B;A;A;A;A;A;A;A;A;B;A;B;A;B;B;B;B;A;A;B;B;B;A;B;B;B;B;B;B;A;A;A;B;B;B;B;A;A;A;B;B;B;A;A;20;17;12;13;11;14;16;7;9;10;13;12;13;16;6;11;15;13;10;12;17;10;12;14;9;9;30;25;13;29;10;33;11;19;11;26;75;14;16;17;25;23;24;11;15;23;10;14;18;21;11;13;22;18;25;21;8;20;11;12;24;21;18;13;10;17;28;16;19;34;14;13;9;14;14;19;15;25;3;5;3;5;,72;,72;,76;,44;,56;,6;12;17,5;17,5;,837945447111224;,733102505511813;,828448989119187;1,34009135484975;,213963481074059
101;PayAll;Older;female;63;$20,001 - $40,000;$50,001 - $100,000;36;8;8;6;A;B;B;A;B;B;A;B;A;A;A;A;A;B;A;B;A;B;B;B;A;B;A;A;A;B;A;B;B;A;A;B;B;B;A;B;A;A;B;B;B;B;A;B;A;B;A;A;B;B;A;A;A;A;A;B;A;A;B;B;A;B;B;A;A;B;B;B;B;A;B;A;A;B;B;A;B;A;4;2;3;3;3;3;3;3;3;3;3;3;3;4;2;3;3;5;3;5;5;4;3;4;3;9;2;4;2;3;2;2;2;3;3;3;2;2;3;3;4;2;3;4;4;3;2;2;3;3;4;3;3;3;3;3;3;3;2;4;4;2;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;7;1;7;1;,52;,48;,48;,24;,4;,4;3;3;3;,655390383427347;,685701999465195;,859914048688402;1,1240822326481;,105173765066224
102;PayOne;Younger;female;32;$20,001 - $40,000;$0 - $5,000;35;7;4,5;5,5;B;A;B;A;B;A;B;A;A;B;A;A;A;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;B;A;B;B;A;B;A;B;A;A;A;A;A;A;B;A;B;B;A;B;A;B;B;A;A;B;B;B;A;B;B;B;B;B;B;A;A;A;B;B;A;A;B;A;A;A;B;B;A;A;16;10;7;10;11;7;8;17;11;11;11;14;7;10;12;10;6;7;16;8;5;11;8;8;10;7;4;5;4;7;6;6;7;5;11;5;4;5;8;6;8;5;3;4;6;6;7;9;8;6;5;6;5;10;15;7;6;15;7;5;6;6;7;5;10;15;16;4;9;10;7;11;11;6;10;5;11;5;5;6;7;5;,8;,84;,76;,44;,52;,52;10;6;7;,835365786564694;,725359961250532;,837050031533304;1,16963898523795;,311412136774157
103;PayOne;Older;female;70;$20,001 - $40,000;$0 - $5,000;24;6,5;8;5,5;A;B;B;B;B;A;B;A;A;B;A;A;A;B;A;A;A;A;A;B;B;B;A;B;A;A;A;A;B;A;B;B;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;A;B;A;B;B;A;B;B;A;A;B;B;A;A;A;A;B;B;A;B;B;A;A;A;A;A;B;B;B;A;A;29;19;13;30;23;19;9;31;24;9;10;19;28;19;23;36;12;18;21;14;28;32;19;20;13;11;10;14;10;16;47;22;10;9;20;30;12;21;12;17;21;33;18;10;28;13;13;24;32;20;18;17;20;12;19;24;20;23;32;18;53;12;31;18;18;51;21;20;13;13;15;9;15;13;13;28;19;18;7;1;7;3;,68;,88;,8;,56;,4;,56;19;17,5;18,5;,838249643551852;,700575134794178;,823143110848136;,910885352970956;,18591288318439
104;PayAll;Older;male;77;$60,001 - $100,000;More than $500'000;23;4;8;7;B;B;B;A;B;B;A;A;A;B;A;A;A;B;A;A;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;B;A;B;A;B;A;A;A;A;A;A;A;A;B;B;A;A;B;B;B;A;B;B;B;B;A;B;B;A;A;A;B;A;A;A;B;A;B;A;B;A;A;A;B;B;A;A;6;5;6;5;6;4;7;4;5;10;7;8;8;5;6;4;6;4;6;4;4;5;5;7;4;4;11;7;9;14;9;5;6;7;9;7;5;7;15;13;8;6;7;10;10;7;9;11;7;17;5;8;7;4;7;7;4;19;6;11;9;8;5;6;5;5;13;5;8;7;7;7;9;5;4;7;6;6;7;6;7;6;,72;,92;,68;,44;,52;,44;5;8;7;,953895348030574;,849615656786489;,841378677151187;1,2410756703246;,149674320582051
105;PayAll;Younger;female;23;More than $100,000;$10,001 - $25,000;37;8;3,5;3,5;A;A;B;A;B;B;B;A;A;B;A;B;B;B;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;B;A;A;B;A;A;B;B;B;A;A;B;A;B;B;B;B;B;A;B;B;B;A;A;A;A;B;B;B;A;A;10;8;16;4;7;6;12;6;4;11;5;7;6;9;9;13;7;7;19;8;7;6;6;8;14;6;6;19;4;8;3;7;4;8;6;6;12;10;6;5;6;9;5;4;6;3;20;6;5;5;7;9;9;16;8;6;7;12;11;13;7;6;24;23;15;12;18;17;6;7;14;9;10;16;6;8;13;8;3;1;6;3;,76;,76;,72;,32;,68;,56;7;6;10,5;,87763639207952;,648135600897582;,903405544467863;1,03687261455903;,190301978604394
106;PayOne;Older;female;72;$20,001 - $40,000;$50,001 - $100,000;20;4,5;8;4,5;A;A;B;B;B;A;A;A;A;B;A;A;A;B;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;B;A;A;A;A;A;A;A;A;A;A;B;B;A;B;B;A;B;A;A;B;B;B;A;B;B;B;B;A;B;A;B;B;A;B;B;B;A;A;A;B;A;B;B;A;19;10;15;22;15;19;12;14;12;21;21;30;11;19;24;41;22;18;12;10;17;11;19;18;16;15;14;8;20;15;10;15;9;17;12;23;10;18;13;17;22;15;27;23;17;23;25;14;8;27;8;25;20;11;18;20;15;24;16;16;21;22;18;16;19;15;15;12;19;34;11;16;15;13;16;12;22;13;7;2;7;3;,84;,92;,68;,4;,52;,52;17,5;16;16;,837902696476116;,709936253981804;,825892660720694;1,25927079527512;,233649412833242
107;PayAll;Older;female;66;$0 - $20,000;$25,001 - $50,000;33;6,5;4;5;A;A;B;A;B;B;B;A;A;B;A;A;A;B;A;B;A;A;B;A;B;B;A;A;A;A;A;A;B;A;B;B;A;B;A;B;B;A;A;B;A;A;A;A;B;A;A;B;A;B;B;A;B;B;B;B;A;B;B;B;A;A;B;A;A;A;A;A;B;B;A;A;A;A;B;B;A;A;6;8;6;7;7;6;6;8;5;9;11;4;6;6;5;6;5;5;9;7;9;4;9;15;6;4;10;11;16;5;11;6;11;5;7;11;8;6;10;8;8;9;12;8;12;5;5;4;12;8;9;8;15;13;5;26;8;22;7;9;7;5;8;11;7;12;10;4;15;9;10;24;10;7;13;8;7;13;5;3;7;2;,8;,76;,68;,28;,36;,44;6;8;9,5;,958265223692881;,525061506837376;,874567886539393;1,50445811886963;,155565385101447
108;PayOne;Older;female;73;$20,001 - $40,000;$100,001 - $250,000;23;8;6,5;5;B;A;B;A;B;B;A;A;A;A;A;A;A;B;A;A;A;A;B;A;B;B;A;B;A;A;A;B;A;A;B;B;A;B;A;B;A;A;A;B;B;A;A;A;B;A;B;A;B;A;B;A;A;B;A;B;A;A;B;B;B;B;B;A;B;A;B;B;B;A;A;A;A;A;A;A;A;A;15;11;13;14;15;13;10;15;21;8;11;13;40;12;13;15;13;8;7;12;8;14;12;15;11;11;10;21;11;13;11;11;9;11;12;16;15;8;21;15;13;14;10;14;7;17;13;9;17;11;14;16;13;10;10;14;8;14;11;10;16;28;17;11;14;16;19;21;11;10;15;8;9;12;10;9;14;10;3;2;3;2;,68;,76;,64;,32;,36;,32;13;13;11,5;,837658807927435;,743009374078693;,823804385997993;1,30254432313974;,140900724158723
109;PayAll;Younger;other;23;$20,001 - $40,000;$0 - $5,000;46;7,5;6;3,5;B;A;B;A;B;B;B;A;A;B;A;B;B;B;B;B;A;A;B;A;A;B;A;A;B;A;A;A;A;B;A;B;A;B;A;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;B;B;A;A;A;A;B;A;A;A;B;A;B;B;B;B;A;A;7;11;9;4;7;7;5;7;4;8;6;8;6;11;4;10;4;6;4;6;3;7;19;8;6;9;5;4;6;8;4;6;8;6;9;5;7;46;13;11;5;4;5;5;5;12;8;5;6;29;4;4;10;10;7;9;5;11;7;7;7;6;7;7;5;14;8;8;6;6;9;5;22;6;7;10;13;9;7;6;7;7;,8;,84;,76;,44;,6;,68;7;6;7;,942931733888641;,752603219734727;,793413187851931;,981919361394736;,163903762599621
110;PayOne;Older;male;69;$20,001 - $40,000;$50,001 - $100,000;34;8;1;2,5;B;A;B;B;B;B;B;A;A;B;A;A;B;A;B;B;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;B;A;A;A;A;A;B;A;A;A;A;B;B;B;B;A;A;B;A;B;B;B;B;B;B;A;B;A;A;A;A;A;A;B;A;B;A;B;A;B;B;B;B;A;A;7;6;6;6;9;5;7;4;5;7;7;11;8;7;4;7;5;6;8;5;4;6;7;12;12;11;6;4;9;6;8;13;6;8;5;18;7;8;5;5;6;7;10;6;13;18;8;9;11;10;8;9;14;5;4;10;9;6;9;6;8;6;7;7;8;11;6;9;8;5;8;7;7;5;6;5;8;7;7;5;7;5;,84;,8;,68;,48;,48;,52;7;8;7;,838463339087859;,649517791566751;,813512712908206;1,26162991513342;,239803781120562
111;PayAll;Older;male;74;$0 - $20,000;$0 - $5,000;22;4,5;4;4,5;B;B;B;A;B;B;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;B;B;A;A;A;B;A;B;B;A;A;B;A;B;A;A;A;A;A;A;A;A;B;A;B;B;A;B;A;A;B;B;B;A;B;B;A;B;A;B;A;A;A;B;A;B;A;A;A;A;B;B;B;A;A;12;16;10;25;34;12;13;12;23;14;13;30;10;11;16;39;13;11;15;11;15;9;12;13;23;10;24;27;10;14;9;42;10;13;14;20;13;22;15;10;17;12;48;8;11;13;14;19;17;13;25;9;14;21;14;9;10;17;16;18;46;13;26;18;28;65;18;14;15;23;11;16;13;13;16;18;15;19;5;3;5;4;,8;,76;,84;,52;,52;,6;13;14;16;,963715344663042;,856679039873412;,960624896033424;1,19261318574607;,177205133663566
112;PayOne;Younger;male;27;$20,001 - $40,000;$25,001 - $50,000;27;6;3,5;6,5;A;B;A;A;B;A;B;B;A;B;B;B;B;B;B;B;A;A;B;B;A;A;A;A;A;A;A;B;A;B;A;B;A;B;A;B;A;B;A;A;A;B;A;B;B;A;B;A;B;B;B;A;A;B;B;A;B;B;A;B;A;B;A;B;B;B;B;A;A;A;B;A;B;A;B;B;B;B;3;5;2;5;4;4;11;6;7;3;10;4;6;4;4;7;3;3;3;4;3;3;16;3;3;4;16;19;28;5;12;22;10;9;4;6;8;19;34;4;28;5;45;8;6;14;10;4;364;7;10;19;4;8;4;21;9;5;9;3;4;11;3;4;4;2;5;4;7;4;6;3;3;4;8;4;4;8;7;6;7;6;,52;,6;,56;,4;,52;,64;4;10;4;,834354531173029;,638811535728687;,836598311348036;1,06224615497333;,070639274623875
113;PayOne;Older;female;62;$40,001 - $60,000;$100,001 - $250,000;22;7,5;1,5;2,5;A;B;B;A;B;B;A;A;A;B;A;A;A;B;A;A;A;A;B;A;B;B;A;A;B;A;A;B;B;A;B;B;A;B;A;B;B;A;A;A;B;A;A;A;B;B;A;B;B;A;B;A;B;B;B;A;A;B;A;B;B;A;A;A;A;A;A;A;A;B;B;A;B;B;A;B;A;A;16;14;11;12;20;9;14;7;21;15;13;16;6;29;18;11;14;11;8;8;10;16;15;27;14;23;12;17;17;14;24;14;16;9;9;11;15;13;7;11;13;9;21;11;11;17;7;32;17;13;6;16;13;43;29;54;14;30;52;13;28;43;20;29;20;20;40;60;31;20;20;25;13;48;20;57;52;61;7;3;8;5;,8;,84;,64;,36;,36;,48;14;13;29;,838495069713435;,63848946139576;,818994356655578;1,25661617259772;,218978952290469
114;PayAll;Older;male;71;$20,001 - $40,000;$100,001 - $250,000;26;8;1;1;A;A;B;A;B;B;B;A;A;B;A;A;B;A;B;B;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;A;A;B;A;B;A;A;A;B;B;A;A;A;B;A;A;B;B;A;B;A;B;B;B;A;A;B;B;B;A;A;A;A;A;B;B;A;B;B;B;A;B;B;B;B;A;A;10;14;8;12;10;8;11;9;6;16;11;10;17;10;13;39;6;8;7;4;9;18;13;8;7;8;6;6;10;8;9;12;7;13;7;7;5;12;7;6;7;6;11;7;6;9;5;10;12;11;6;7;9;5;9;7;6;6;12;8;10;7;8;7;10;14;10;12;9;10;9;6;6;7;8;4;7;7;9;1;9;1;,88;,84;,64;,44;,36;,48;10;7;8;,958724963434922;,650458175448958;,867355237905668;1,23714096674806;,131095515160539
115;PayAll;Younger;female;20;$60,001 - $100,000;$50,001 - $100,000;42;8;5,5;5,5;A;B;B;B;A;B;B;A;A;B;B;A;B;B;B;B;B;B;B;B;B;B;B;A;B;A;A;B;B;B;A;A;B;B;B;B;B;A;B;B;A;B;A;A;B;A;B;A;A;B;A;B;A;B;A;B;B;B;A;A;A;A;B;A;A;B;B;B;A;B;B;A;B;B;A;B;B;A;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;1;5;1;1;2;1;1;1;2;4;2;1;1;2;2;1;1;1;1;4;1;3;1;3;1;1;0;3;1;1;7;2;1;1;2;1;1;1;2;2;1;3;1;1;2;3;1;1;2;7;2;4;3;,68;,32;,44;,56;,32;,6;1;1;1;,375904164411999;,735609676279817;,789387216698765;1,05939092904498;,133445641648854
116;PayAll;Older;female;82;$40,001 - $60,000;$250,001 - $500,000;17;7;8;6;A;B;A;A;B;B;B;B;B;B;A;B;B;B;B;A;A;A;B;A;B;B;A;A;A;B;A;A;A;A;B;B;B;A;B;B;A;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B;B;B;A;A;B;B;B;A;A;B;B;A;B;B;A;A;A;A;B;B;A;A;B;A;34;46;14;50;16;21;33;52;22;29;21;9;59;33;93;21;33;28;12;13;19;41;30;36;15;47;36;7;21;24;27;20;26;4;19;10;10;8;16;7;15;27;3;13;9;12;9;26;21;12;7;15;12;7;8;7;12;19;8;8;7;6;6;6;11;16;10;6;10;10;13;7;12;7;13;7;4;14;7;2;7;7;,72;,68;,72;,52;,6;,48;29,5;14;8;,821435692800256;,687421127132711;,918905724789359;1,04029250588985;,118008289972182
117;PayOne;Younger;female;20;$40,001 - $60,000;$100,001 - $250,000;24;8;4;6;A;A;B;A;B;B;A;A;A;B;A;B;A;B;B;A;A;A;B;A;B;B;A;A;B;A;B;A;B;B;B;A;A;B;A;B;A;A;A;B;A;A;A;A;B;B;B;B;A;A;A;A;A;A;B;B;A;B;B;B;B;A;B;A;B;A;B;A;B;A;A;A;B;B;A;B;A;A;10;12;5;7;10;11;15;9;11;14;7;7;18;8;16;14;4;7;6;11;13;7;23;10;7;5;4;3;8;4;2;11;22;2;9;6;5;8;16;10;10;9;15;9;7;11;11;11;3;7;7;10;10;15;16;21;5;22;7;9;15;6;21;11;21;18;20;13;14;7;6;11;6;6;7;10;8;11;7;7;8;8;,84;,68;,8;,4;,52;,4;10;8,5;11;,836012140477007;,765181385890595;,836897049014704;1,25780484212418;,218823250532158
